window_size,density,local,condition,test,channel_count,time_count,total_count,amp,noise
4,86,TRUE,baseline,sw,5,14,14,4020,0.1
4,86,TRUE,vs_right,sw,22,37,37,4020,0.1
4,86,TRUE,vs_left,sw,24,34,34,4020,0.1
4,86,TRUE,difference,sw,3,14,14,4020,0.1
4,86,FALSE,baseline,sw,8,16,16,4020,0.1
4,86,FALSE,vs_right,sw,37,33,33,4020,0.1
4,86,FALSE,vs_left,sw,40,39,39,4020,0.1
4,86,FALSE,difference,sw,8,29,29,4020,0.1
4,64,TRUE,baseline,sw,2,7,7,4020,0.1
4,64,TRUE,vs_right,sw,15,30,30,4020,0.1
4,64,TRUE,vs_left,sw,16,31,31,4020,0.1
4,64,TRUE,difference,sw,2,6,6,4020,0.1
4,64,FALSE,baseline,sw,6,16,16,4020,0.1
4,64,FALSE,vs_right,sw,31,33,33,4020,0.1
4,64,FALSE,vs_left,sw,33,40,40,4020,0.1
4,64,FALSE,difference,sw,7,24,24,4020,0.1
4,31,TRUE,baseline,sw,2,8,8,4020,0.1
4,31,TRUE,vs_right,sw,7,25,25,4020,0.1
4,31,TRUE,vs_left,sw,7,33,33,4020,0.1
4,31,TRUE,difference,sw,3,7,7,4020,0.1
4,31,FALSE,baseline,sw,4,12,12,4020,0.1
4,31,FALSE,vs_right,sw,19,37,37,4020,0.1
4,31,FALSE,vs_left,sw,17,35,35,4020,0.1
4,31,FALSE,difference,sw,5,19,19,4020,0.1
20,86,TRUE,baseline,sw,1,1,1,4020,0.1
20,86,TRUE,vs_right,sw,17,5,5,4020,0.1
20,86,TRUE,vs_left,sw,18,5,5,4020,0.1
20,86,TRUE,difference,sw,0,0,0,4020,0.1
20,86,FALSE,baseline,sw,1,1,1,4020,0.1
20,86,FALSE,vs_right,sw,15,5,5,4020,0.1
20,86,FALSE,vs_left,sw,19,6,6,4020,0.1
20,86,FALSE,difference,sw,1,2,2,4020,0.1
20,64,TRUE,baseline,sw,1,1,1,4020,0.1
20,64,TRUE,vs_right,sw,12,5,5,4020,0.1
20,64,TRUE,vs_left,sw,15,5,5,4020,0.1
20,64,TRUE,difference,sw,0,0,0,4020,0.1
20,64,FALSE,baseline,sw,1,1,1,4020,0.1
20,64,FALSE,vs_right,sw,13,7,7,4020,0.1
20,64,FALSE,vs_left,sw,17,7,7,4020,0.1
20,64,FALSE,difference,sw,1,2,2,4020,0.1
20,31,TRUE,baseline,sw,1,2,2,4020,0.1
20,31,TRUE,vs_right,sw,6,4,4,4020,0.1
20,31,TRUE,vs_left,sw,6,5,5,4020,0.1
20,31,TRUE,difference,sw,1,2,2,4020,0.1
20,31,FALSE,baseline,sw,1,1,1,4020,0.1
20,31,FALSE,vs_right,sw,8,5,5,4020,0.1
20,31,FALSE,vs_left,sw,7,6,6,4020,0.1
20,31,FALSE,difference,sw,1,2,2,4020,0.1
4,86,TRUE,baseline,sw,8,22,22,4020,0.2
4,86,TRUE,vs_right,sw,25,46,46,4020,0.2
4,86,TRUE,vs_left,sw,25,46,46,4020,0.2
4,86,TRUE,difference,sw,6,15,15,4020,0.2
4,86,FALSE,baseline,sw,11,25,25,4020,0.2
4,86,FALSE,vs_right,sw,77,49,49,4020,0.2
4,86,FALSE,vs_left,sw,72,52,52,4020,0.2
4,86,FALSE,difference,sw,7,19,19,4020,0.2
4,64,TRUE,baseline,sw,5,18,18,4020,0.2
4,64,TRUE,vs_right,sw,17,43,43,4020,0.2
4,64,TRUE,vs_left,sw,18,43,43,4020,0.2
4,64,TRUE,difference,sw,7,19,19,4020,0.2
4,64,FALSE,baseline,sw,9,22,22,4020,0.2
4,64,FALSE,vs_right,sw,57,43,43,4020,0.2
4,64,FALSE,vs_left,sw,54,44,44,4020,0.2
4,64,FALSE,difference,sw,8,20,20,4020,0.2
4,31,TRUE,baseline,sw,1,7,7,4020,0.2
4,31,TRUE,vs_right,sw,7,39,39,4020,0.2
4,31,TRUE,vs_left,sw,8,45,45,4020,0.2
4,31,TRUE,difference,sw,3,19,19,4020,0.2
4,31,FALSE,baseline,sw,5,13,13,4020,0.2
4,31,FALSE,vs_right,sw,27,42,42,4020,0.2
4,31,FALSE,vs_left,sw,26,50,50,4020,0.2
4,31,FALSE,difference,sw,5,22,22,4020,0.2
20,86,TRUE,baseline,sw,0,0,0,4020,0.2
20,86,TRUE,vs_right,sw,23,8,8,4020,0.2
20,86,TRUE,vs_left,sw,23,9,9,4020,0.2
20,86,TRUE,difference,sw,0,0,0,4020,0.2
20,86,FALSE,baseline,sw,0,0,0,4020,0.2
20,86,FALSE,vs_right,sw,61,8,8,4020,0.2
20,86,FALSE,vs_left,sw,59,9,9,4020,0.2
20,86,FALSE,difference,sw,0,0,0,4020,0.2
20,64,TRUE,baseline,sw,0,0,0,4020,0.2
20,64,TRUE,vs_right,sw,17,8,8,4020,0.2
20,64,TRUE,vs_left,sw,17,10,10,4020,0.2
20,64,TRUE,difference,sw,0,0,0,4020,0.2
20,64,FALSE,baseline,sw,0,0,0,4020,0.2
20,64,FALSE,vs_right,sw,49,7,7,4020,0.2
20,64,FALSE,vs_left,sw,43,9,9,4020,0.2
20,64,FALSE,difference,sw,0,0,0,4020,0.2
20,31,TRUE,baseline,sw,0,0,0,4020,0.2
20,31,TRUE,vs_right,sw,7,10,10,4020,0.2
20,31,TRUE,vs_left,sw,7,10,10,4020,0.2
20,31,TRUE,difference,sw,1,1,1,4020,0.2
20,31,FALSE,baseline,sw,0,0,0,4020,0.2
20,31,FALSE,vs_right,sw,24,8,8,4020,0.2
20,31,FALSE,vs_left,sw,23,10,10,4020,0.2
20,31,FALSE,difference,sw,0,0,0,4020,0.2
4,86,TRUE,baseline,sw,5,12,12,6020,0.1
4,86,TRUE,vs_right,sw,24,32,32,6020,0.1
4,86,TRUE,vs_left,sw,25,38,38,6020,0.1
4,86,TRUE,difference,sw,6,11,11,6020,0.1
4,86,FALSE,baseline,sw,8,15,15,6020,0.1
4,86,FALSE,vs_right,sw,61,42,42,6020,0.1
4,86,FALSE,vs_left,sw,49,36,36,6020,0.1
4,86,FALSE,difference,sw,12,25,25,6020,0.1
4,64,TRUE,baseline,sw,4,8,8,6020,0.1
4,64,TRUE,vs_right,sw,16,35,35,6020,0.1
4,64,TRUE,vs_left,sw,17,38,38,6020,0.1
4,64,TRUE,difference,sw,3,10,10,6020,0.1
4,64,FALSE,baseline,sw,4,8,8,6020,0.1
4,64,FALSE,vs_right,sw,45,39,39,6020,0.1
4,64,FALSE,vs_left,sw,40,38,38,6020,0.1
4,64,FALSE,difference,sw,9,23,23,6020,0.1
4,31,TRUE,baseline,sw,2,4,4,6020,0.1
4,31,TRUE,vs_right,sw,8,32,32,6020,0.1
4,31,TRUE,vs_left,sw,7,40,40,6020,0.1
4,31,TRUE,difference,sw,2,8,8,6020,0.1
4,31,FALSE,baseline,sw,3,4,4,6020,0.1
4,31,FALSE,vs_right,sw,24,34,34,6020,0.1
4,31,FALSE,vs_left,sw,19,34,34,6020,0.1
4,31,FALSE,difference,sw,8,22,22,6020,0.1
20,86,TRUE,baseline,sw,0,0,0,6020,0.1
20,86,TRUE,vs_right,sw,22,7,7,6020,0.1
20,86,TRUE,vs_left,sw,20,6,6,6020,0.1
20,86,TRUE,difference,sw,2,2,2,6020,0.1
20,86,FALSE,baseline,sw,0,0,0,6020,0.1
20,86,FALSE,vs_right,sw,28,7,7,6020,0.1
20,86,FALSE,vs_left,sw,23,6,6,6020,0.1
20,86,FALSE,difference,sw,2,2,2,6020,0.1
20,64,TRUE,baseline,sw,0,0,0,6020,0.1
20,64,TRUE,vs_right,sw,15,5,5,6020,0.1
20,64,TRUE,vs_left,sw,15,6,6,6020,0.1
20,64,TRUE,difference,sw,0,0,0,6020,0.1
20,64,FALSE,baseline,sw,0,0,0,6020,0.1
20,64,FALSE,vs_right,sw,23,5,5,6020,0.1
20,64,FALSE,vs_left,sw,18,6,6,6020,0.1
20,64,FALSE,difference,sw,0,0,0,6020,0.1
20,31,TRUE,baseline,sw,0,0,0,6020,0.1
20,31,TRUE,vs_right,sw,7,3,3,6020,0.1
20,31,TRUE,vs_left,sw,5,9,9,6020,0.1
20,31,TRUE,difference,sw,0,0,0,6020,0.1
20,31,FALSE,baseline,sw,0,0,0,6020,0.1
20,31,FALSE,vs_right,sw,10,3,3,6020,0.1
20,31,FALSE,vs_left,sw,9,6,6,6020,0.1
20,31,FALSE,difference,sw,1,2,2,6020,0.1
4,86,TRUE,baseline,sw,4,9,9,6020,0.2
4,86,TRUE,vs_right,sw,23,27,27,6020,0.2
4,86,TRUE,vs_left,sw,24,41,41,6020,0.2
4,86,TRUE,difference,sw,6,13,13,6020,0.2
4,86,FALSE,baseline,sw,8,18,18,6020,0.2
4,86,FALSE,vs_right,sw,60,52,52,6020,0.2
4,86,FALSE,vs_left,sw,51,48,48,6020,0.2
4,86,FALSE,difference,sw,15,30,30,6020,0.2
4,64,TRUE,baseline,sw,4,8,8,6020,0.2
4,64,TRUE,vs_right,sw,16,27,27,6020,0.2
4,64,TRUE,vs_left,sw,18,43,43,6020,0.2
4,64,TRUE,difference,sw,6,17,17,6020,0.2
4,64,FALSE,baseline,sw,6,16,16,6020,0.2
4,64,FALSE,vs_right,sw,46,45,45,6020,0.2
4,64,FALSE,vs_left,sw,43,48,48,6020,0.2
4,64,FALSE,difference,sw,14,29,29,6020,0.2
4,31,TRUE,baseline,sw,3,10,10,6020,0.2
4,31,TRUE,vs_right,sw,7,26,26,6020,0.2
4,31,TRUE,vs_left,sw,8,39,39,6020,0.2
4,31,TRUE,difference,sw,4,13,13,6020,0.2
4,31,FALSE,baseline,sw,5,15,15,6020,0.2
4,31,FALSE,vs_right,sw,25,35,35,6020,0.2
4,31,FALSE,vs_left,sw,26,46,46,6020,0.2
