amplitude,noise_filter,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1
4020,0.1,True,0.004,86,True,baseline,w,0.0037796447300922,3528,17,False,6,11,2453,1058,0.35294117647058826,0.005639097744360902,0.011100832562442183
4020,0.1,True,0.004,86,True,vs_right,w,0.0037796447300922,3528,338,True,315,23,2441,749,0.9319526627218935,0.29605263157894735,0.4493580599144079
4020,0.1,True,0.004,86,True,vs_left,w,0.0037796447300922,3528,348,True,341,7,2457,723,0.9798850574712644,0.32048872180451127,0.48300283286118983
4020,0.1,True,0.004,86,True,difference,w,0.0037796447300922,3528,14,False,0,14,2450,1064,0.0,0.0,
4020,0.1,True,0.004,86,False,baseline,w,0.0021566554640687,10836,25,False,2,23,9749,1062,0.08,0.0018796992481203006,0.0036730945821854912
4020,0.1,True,0.004,86,False,vs_right,w,0.0021566554640687,10836,433,False,269,164,9608,795,0.6212471131639723,0.25281954887218044,0.3593854375417502
4020,0.1,True,0.004,86,False,vs_left,w,0.0021566554640687,10836,422,False,305,117,9655,759,0.7227488151658767,0.2866541353383459,0.41049798115746977
4020,0.1,True,0.004,86,False,difference,w,0.0021566554640687,10836,17,False,0,17,9755,1064,0.0,0.0,
4020,0.1,True,0.004,64,True,baseline,w,0.0047140452079103,2268,17,False,4,13,1571,680,0.23529411764705882,0.005847953216374269,0.011412268188302425
4020,0.1,True,0.004,64,True,vs_right,w,0.0047140452079103,2268,251,True,238,13,1571,446,0.9482071713147411,0.347953216374269,0.509090909090909
4020,0.1,True,0.004,64,True,vs_left,w,0.0047140452079103,2268,252,True,250,2,1582,434,0.9920634920634921,0.3654970760233918,0.5341880341880342
4020,0.1,True,0.004,64,True,difference,w,0.0047140452079103,2268,7,False,4,3,1581,680,0.5714285714285714,0.005847953216374269,0.011577424023154849
4020,0.1,True,0.004,64,False,baseline,w,0.0025,8064,29,False,2,27,7353,682,0.06896551724137931,0.0029239766081871343,0.005610098176718092
4020,0.1,True,0.004,64,False,vs_right,w,0.0025,8064,335,False,202,133,7247,482,0.6029850746268657,0.2953216374269006,0.3964671246319922
4020,0.1,True,0.004,64,False,vs_left,w,0.0025,8064,320,False,224,96,7284,460,0.7,0.32748538011695905,0.44621513944223107
4020,0.1,True,0.004,64,False,difference,w,0.0025,8064,9,False,0,9,7371,684,0.0,0.0,
4020,0.1,True,0.004,31,True,baseline,w,0.0070710678118654,1008,11,False,4,7,697,300,0.36363636363636365,0.013157894736842105,0.025396825396825397
4020,0.1,True,0.004,31,True,vs_right,w,0.0070710678118654,1008,127,True,122,5,699,182,0.9606299212598425,0.40131578947368424,0.5661252900232019
