amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,True,86,True,baseline,mc_w,0.0081978229472994,756,0,False,0,0,300,456,0.0,1.0
"(40, 20)",high,True,0.004,True,86,True,vs,mc_w,0.0081978229472994,756,53,True,48,5,295,408,0.016666666666666666,0.8947368421052632
"(40, 20)",high,True,0.004,True,86,False,baseline,mc_w,0.0046067787949796,2394,2,False,0,2,1936,456,0.0010319917440660474,1.0
"(40, 20)",high,True,0.004,True,86,False,vs,mc_w,0.0046067787949796,2394,42,False,38,4,1934,418,0.0020639834881320948,0.9166666666666666
"(40, 20)",high,True,0.004,True,64,True,baseline,mc_w,0.0107334697685272,441,0,False,0,0,175,266,0.0,1.0
"(40, 20)",high,True,0.004,True,64,True,vs,mc_w,0.0107334697685272,441,28,True,25,3,172,241,0.017142857142857144,0.9060150375939849
"(40, 20)",high,True,0.004,True,64,False,baseline,mc_w,0.0054652152981996,1701,2,False,0,2,1433,266,0.0013937282229965157,1.0
"(40, 20)",high,True,0.004,True,64,False,vs,mc_w,0.0054652152981996,1701,20,False,18,2,1433,248,0.0013937282229965157,0.9323308270676691
"(40, 20)",high,True,0.004,True,31,True,baseline,mc_w,0.0163956458945988,189,0,False,0,0,75,114,0.0,1.0
"(40, 20)",high,True,0.004,True,31,True,vs,mc_w,0.0163956458945988,189,25,True,21,4,71,93,0.05333333333333334,0.8157894736842105
"(40, 20)",high,True,0.004,True,31,False,baseline,mc_w,0.0081978229472994,756,0,False,0,0,642,114,0.0,1.0
"(40, 20)",high,True,0.004,True,31,False,vs,mc_w,0.0081978229472994,756,20,False,17,3,639,97,0.004672897196261682,0.8508771929824561
"(40, 20)",high,True,0.004,False,86,True,baseline,mc_w,0.0057735026918962,1512,4,False,0,4,1052,456,0.003787878787878788,1.0
"(40, 20)",high,True,0.004,False,86,True,vs,mc_w,0.0057735026918962,1512,44,False,40,4,1052,416,0.003787878787878788,0.9122807017543859
"(40, 20)",high,True,0.004,False,86,False,baseline,mc_w,0.0032444284226152,4788,7,False,0,7,4325,456,0.001615881809787627,1.0
"(40, 20)",high,True,0.004,False,86,False,vs,mc_w,0.0032444284226152,4788,37,False,31,6,4326,425,0.0013850415512465374,0.9320175438596491
"(40, 20)",high,True,0.004,False,64,True,baseline,mc_w,0.0075592894601845,882,0,False,0,0,616,266,0.0,1.0
"(40, 20)",high,True,0.004,False,64,True,vs,mc_w,0.0075592894601845,882,22,False,20,2,614,246,0.003246753246753247,0.924812030075188
"(40, 20)",high,True,0.004,False,64,False,baseline,mc_w,0.0038490017945975,3402,6,False,0,6,3130,266,0.001913265306122449,1.0
"(40, 20)",high,True,0.004,False,64,False,vs,mc_w,0.0038490017945975,3402,21,False,15,6,3130,251,0.001913265306122449,0.943609022556391
"(40, 20)",high,True,0.004,False,31,True,baseline,mc_w,0.0115470053837925,378,2,False,0,2,262,114,0.007575757575757576,1.0
"(40, 20)",high,True,0.004,False,31,True,vs,mc_w,0.0115470053837925,378,20,True,17,3,261,97,0.011363636363636364,0.8508771929824561
"(40, 20)",high,True,0.004,False,31,False,baseline,mc_w,0.0057735026918962,1512,5,False,0,5,1393,114,0.00357653791130186,1.0
"(40, 20)",high,True,0.004,False,31,False,vs,mc_w,0.0057735026918962,1512,20,False,13,7,1391,101,0.005007153075822604,0.8859649122807017
"(40, 20)",high,True,0.012,True,86,True,baseline,mc_w,0.0144337567297406,252,0,False,0,0,108,144,0.0,1.0
"(40, 20)",high,True,0.012,True,86,True,vs,mc_w,0.0144337567297406,252,18,True,17,1,107,127,0.009259259259259259,0.8819444444444444
"(40, 20)",high,True,0.012,True,86,False,baseline,mc_w,0.0081110710565381,798,0,False,0,0,654,144,0.0,1.0
"(40, 20)",high,True,0.012,True,86,False,vs,mc_w,0.0081110710565381,798,16,False,15,1,653,129,0.0015290519877675841,0.8958333333333334
"(40, 20)",high,True,0.012,True,64,True,baseline,mc_w,0.0188982236504613,147,0,False,0,0,63,84,0.0,1.0
"(40, 20)",high,True,0.012,True,64,True,vs,mc_w,0.0188982236504613,147,8,True,8,0,63,76,0.0,0.9047619047619048
"(40, 20)",high,True,0.012,True,64,False,baseline,mc_w,0.0096225044864937,567,0,False,0,0,483,84,0.0,1.0
"(40, 20)",high,True,0.012,True,64,False,vs,mc_w,0.0096225044864937,567,8,False,8,0,483,76,0.0,0.9047619047619048
"(40, 20)",high,True,0.012,True,31,True,baseline,mc_w,0.0288675134594812,63,0,False,0,0,27,36,0.0,1.0
"(40, 20)",high,True,0.012,True,31,True,vs,mc_w,0.0288675134594812,63,6,True,6,0,27,30,0.0,0.8333333333333334
"(40, 20)",high,True,0.012,True,31,False,baseline,mc_w,0.0144337567297406,252,0,False,0,0,216,36,0.0,1.0
"(40, 20)",high,True,0.012,True,31,False,vs,mc_w,0.0144337567297406,252,6,False,6,0,216,30,0.0,0.8333333333333334
"(40, 20)",high,True,0.012,False,86,True,baseline,mc_w,0.0100809729818188,504,0,False,0,0,360,144,0.0,1.0
"(40, 20)",high,True,0.012,False,86,True,vs,mc_w,0.0100809729818188,504,15,False,15,0,360,129,0.0,0.8958333333333334
"(40, 20)",high,True,0.012,False,86,False,baseline,mc_w,0.0056650177570259,1596,0,False,0,0,1452,144,0.0,1.0
"(40, 20)",high,True,0.012,False,86,False,vs,mc_w,0.0056650177570259,1596,13,False,13,0,1452,131,0.0,0.9097222222222222
"(40, 20)",high,True,0.012,False,64,True,baseline,mc_w,0.0131990919337113,294,0,False,0,0,210,84,0.0,1.0
"(40, 20)",high,True,0.012,False,64,True,vs,mc_w,0.0131990919337113,294,8,False,8,0,210,76,0.0,0.9047619047619048
"(40, 20)",high,True,0.012,False,64,False,baseline,mc_w,0.0067206486545459,1134,0,False,0,0,1050,84,0.0,1.0
"(40, 20)",high,True,0.012,False,64,False,vs,mc_w,0.0067206486545459,1134,6,False,6,0,1050,78,0.0,0.9285714285714286
"(40, 20)",high,True,0.012,False,31,True,baseline,mc_w,0.0201619459636377,126,0,False,0,0,90,36,0.0,1.0
"(40, 20)",high,True,0.012,False,31,True,vs,mc_w,0.0201619459636377,126,6,False,6,0,90,30,0.0,0.8333333333333334
"(40, 20)",high,True,0.012,False,31,False,baseline,mc_w,0.0100809729818188,504,0,False,0,0,468,36,0.0,1.0
"(40, 20)",high,True,0.012,False,31,False,vs,mc_w,0.0100809729818188,504,6,False,6,0,468,30,0.0,0.8333333333333334
"(40, 20)",high,True,0.02,True,86,True,baseline,mc_w,0.0186338998124982,156,0,False,0,0,60,96,0.0,1.0
"(40, 20)",high,True,0.02,True,86,True,vs,mc_w,0.0186338998124982,156,8,True,7,1,59,89,0.016666666666666666,0.9270833333333334
"(40, 20)",high,True,0.02,True,86,False,baseline,mc_w,0.0104713477072923,494,0,False,0,0,398,96,0.0,1.0
"(40, 20)",high,True,0.02,True,86,False,vs,mc_w,0.0104713477072923,494,5,False,5,0,398,91,0.0,0.9479166666666666
"(40, 20)",high,True,0.02,True,64,True,baseline,mc_w,0.0243975018237133,91,0,False,0,0,35,56,0.0,1.0
"(40, 20)",high,True,0.02,True,64,True,vs,mc_w,0.0243975018237133,91,5,True,5,0,35,51,0.0,0.9107142857142857
"(40, 20)",high,True,0.02,True,64,False,baseline,mc_w,0.0124225998749988,351,0,False,0,0,295,56,0.0,1.0
"(40, 20)",high,True,0.02,True,64,False,vs,mc_w,0.0124225998749988,351,3,False,3,0,295,53,0.0,0.9464285714285714
"(40, 20)",high,True,0.02,True,31,True,baseline,mc_w,0.0372677996249964,39,0,False,0,0,15,24,0.0,1.0
"(40, 20)",high,True,0.02,True,31,True,vs,mc_w,0.0372677996249964,39,3,True,3,0,15,21,0.0,0.875
"(40, 20)",high,True,0.02,True,31,False,baseline,mc_w,0.0186338998124982,156,0,False,0,0,132,24,0.0,1.0
"(40, 20)",high,True,0.02,True,31,False,vs,mc_w,0.0186338998124982,156,3,False,3,0,132,21,0.0,0.875
"(40, 20)",high,True,0.02,False,86,True,baseline,mc_w,0.012909944487358,312,0,False,0,0,216,96,0.0,1.0
"(40, 20)",high,True,0.02,False,86,True,vs,mc_w,0.012909944487358,312,5,False,5,0,216,91,0.0,0.9479166666666666
"(40, 20)",high,True,0.02,False,86,False,baseline,mc_w,0.0072547625011001,988,0,False,0,0,892,96,0.0,1.0
"(40, 20)",high,True,0.02,False,86,False,vs,mc_w,0.0072547625011001,988,3,False,3,0,892,93,0.0,0.96875
"(40, 20)",high,True,0.02,False,64,True,baseline,mc_w,0.0169030850945703,182,0,False,0,0,126,56,0.0,1.0
"(40, 20)",high,True,0.02,False,64,True,vs,mc_w,0.0169030850945703,182,5,False,5,0,126,51,0.0,0.9107142857142857
"(40, 20)",high,True,0.02,False,64,False,baseline,mc_w,0.0086066296582387,702,0,False,0,0,646,56,0.0,1.0
"(40, 20)",high,True,0.02,False,64,False,vs,mc_w,0.0086066296582387,702,3,False,3,0,646,53,0.0,0.9464285714285714
"(40, 20)",high,True,0.02,False,31,True,baseline,mc_w,0.0258198889747161,78,0,False,0,0,54,24,0.0,1.0
"(40, 20)",high,True,0.02,False,31,True,vs,mc_w,0.0258198889747161,78,3,False,3,0,54,21,0.0,0.875
"(40, 20)",high,True,0.02,False,31,False,baseline,mc_w,0.012909944487358,312,0,False,0,0,288,24,0.0,1.0
"(40, 20)",high,True,0.02,False,31,False,vs,mc_w,0.012909944487358,312,3,False,3,0,288,21,0.0,0.875
"(40, 20)",high,False,0.004,True,86,True,baseline,mc_w,0.0081978229472994,756,3,False,3,0,300,453,0.0,0.993421052631579
"(40, 20)",high,False,0.004,True,86,True,vs,mc_w,0.0081978229472994,756,23,False,21,2,298,435,0.006666666666666667,0.9539473684210527
"(40, 20)",high,False,0.004,True,86,False,baseline,mc_w,0.0046067787949796,2394,2,False,0,2,1936,456,0.0010319917440660474,1.0
"(40, 20)",high,False,0.004,True,86,False,vs,mc_w,0.0046067787949796,2394,16,False,10,6,1932,446,0.0030959752321981426,0.9780701754385965
"(40, 20)",high,False,0.004,True,64,True,baseline,mc_w,0.0107334697685272,441,0,False,0,0,175,266,0.0,1.0
"(40, 20)",high,False,0.004,True,64,True,vs,mc_w,0.0107334697685272,441,20,False,18,2,173,248,0.011428571428571429,0.9323308270676691
"(40, 20)",high,False,0.004,True,64,False,baseline,mc_w,0.0054652152981996,1701,4,False,0,4,1431,266,0.0027874564459930314,1.0
"(40, 20)",high,False,0.004,True,64,False,vs,mc_w,0.0054652152981996,1701,15,False,8,7,1428,258,0.004878048780487805,0.9699248120300752
"(40, 20)",high,False,0.004,True,31,True,baseline,mc_w,0.0163956458945988,189,0,False,0,0,75,114,0.0,1.0
"(40, 20)",high,False,0.004,True,31,True,vs,mc_w,0.0163956458945988,189,13,True,10,3,72,104,0.04,0.9122807017543859
"(40, 20)",high,False,0.004,True,31,False,baseline,mc_w,0.0081978229472994,756,5,False,0,5,637,114,0.00778816199376947,1.0
"(40, 20)",high,False,0.004,True,31,False,vs,mc_w,0.0081978229472994,756,12,False,7,5,637,107,0.00778816199376947,0.9385964912280702
"(40, 20)",high,False,0.004,False,86,True,baseline,mc_w,0.0057735026918962,1512,4,False,0,4,1052,456,0.003787878787878788,1.0
"(40, 20)",high,False,0.004,False,86,True,vs,mc_w,0.0057735026918962,1512,19,False,14,5,1051,442,0.004734848484848485,0.9692982456140351
"(40, 20)",high,False,0.004,False,86,False,baseline,mc_w,0.0032444284226152,4788,2,False,0,2,4330,456,0.0004616805170821791,1.0
"(40, 20)",high,False,0.004,False,86,False,vs,mc_w,0.0032444284226152,4788,14,False,9,5,4327,447,0.0011542012927054479,0.9802631578947368
"(40, 20)",high,False,0.004,False,64,True,baseline,mc_w,0.0075592894601845,882,2,False,0,2,614,266,0.003246753246753247,1.0
"(40, 20)",high,False,0.004,False,64,True,vs,mc_w,0.0075592894601845,882,17,False,12,5,611,254,0.008116883116883116,0.9548872180451128
"(40, 20)",high,False,0.004,False,64,False,baseline,mc_w,0.0038490017945975,3402,4,False,0,4,3132,266,0.0012755102040816326,1.0
"(40, 20)",high,False,0.004,False,64,False,vs,mc_w,0.0038490017945975,3402,14,False,7,7,3129,259,0.002232142857142857,0.9736842105263158
