amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,True,86,True,baseline,mc_w,0.0053239713749995,1764,12,False,0,12,1752,0,0.006802721088435374,0.0
"(40, 20)",high,True,0.004,True,86,True,vs_right,mc_w,0.0053239713749995,1764,377,True,365,12,688,699,0.017142857142857144,0.6569548872180451
"(40, 20)",high,True,0.004,True,86,True,vs_left,mc_w,0.0053239713749995,1764,386,True,375,11,689,689,0.015714285714285715,0.6475563909774437
"(40, 20)",high,True,0.004,True,86,True,difference,mc_w,0.0053239713749995,1764,11,False,8,3,697,1056,0.004285714285714286,0.9924812030075187
"(40, 20)",high,True,0.004,True,86,False,baseline,mc_w,0.0030378442357353,5418,13,False,0,13,5405,0,0.002399409376153562,0.0
"(40, 20)",high,True,0.004,True,86,False,vs_right,mc_w,0.0030378442357353,5418,496,True,322,174,4180,742,0.0399632521819017,0.6973684210526315
"(40, 20)",high,True,0.004,True,86,False,vs_left,mc_w,0.0030378442357353,5418,478,True,335,143,4211,729,0.032843362425355994,0.6851503759398496
"(40, 20)",high,True,0.004,True,86,False,difference,mc_w,0.0030378442357353,5418,13,False,6,7,4347,1058,0.001607717041800643,0.9943609022556391
"(40, 20)",high,True,0.004,True,64,True,baseline,mc_w,0.0066401589407466,1134,10,False,0,10,1124,0,0.008818342151675485,0.0
"(40, 20)",high,True,0.004,True,64,True,vs_right,mc_w,0.0066401589407466,1134,289,True,279,10,440,405,0.022222222222222223,0.5921052631578947
"(40, 20)",high,True,0.004,True,64,True,vs_left,mc_w,0.0066401589407466,1134,294,True,285,9,441,399,0.02,0.5833333333333334
"(40, 20)",high,True,0.004,True,64,True,difference,mc_w,0.0066401589407466,1134,11,False,8,3,447,676,0.006666666666666667,0.9883040935672515
"(40, 20)",high,True,0.004,True,64,False,baseline,mc_w,0.0035214760613688,4032,15,False,0,15,4017,0,0.003720238095238095,0.0
"(40, 20)",high,True,0.004,True,64,False,vs_right,mc_w,0.0035214760613688,4032,398,True,240,158,3190,444,0.047192353643966546,0.6491228070175439
"(40, 20)",high,True,0.004,True,64,False,vs_left,mc_w,0.0035214760613688,4032,368,True,250,118,3230,434,0.03524492234169654,0.6345029239766082
"(40, 20)",high,True,0.004,True,64,False,difference,mc_w,0.0035214760613688,4032,14,False,4,10,3338,680,0.002986857825567503,0.9941520467836257
"(40, 20)",high,True,0.004,True,31,True,baseline,mc_w,0.0099602384111199,504,12,False,0,12,492,0,0.023809523809523808,0.0
"(40, 20)",high,True,0.004,True,31,True,vs_right,mc_w,0.0099602384111199,504,134,True,127,7,193,177,0.035,0.5822368421052632
"(40, 20)",high,True,0.004,True,31,True,vs_left,mc_w,0.0099602384111199,504,137,True,130,7,193,174,0.035,0.5723684210526315
"(40, 20)",high,True,0.004,True,31,True,difference,mc_w,0.0099602384111199,504,7,False,7,0,200,297,0.0,0.9769736842105263
"(40, 20)",high,True,0.004,True,31,False,baseline,mc_w,0.0050598061726576,1953,10,False,0,10,1943,0,0.005120327700972862,0.0
"(40, 20)",high,True,0.004,True,31,False,vs_right,mc_w,0.0050598061726576,1953,195,True,118,77,1572,186,0.046694966646452396,0.6118421052631579
"(40, 20)",high,True,0.004,True,31,False,vs_left,mc_w,0.0050598061726576,1953,192,True,113,79,1570,191,0.04790782292298363,0.6282894736842105
"(40, 20)",high,True,0.004,True,31,False,difference,mc_w,0.0050598061726576,1953,6,False,0,6,1643,304,0.0036385688295936932,1.0
"(40, 20)",high,True,0.004,False,86,True,baseline,mc_w,0.0037646162621052,3528,18,False,0,18,3510,0,0.00510204081632653,0.0
"(40, 20)",high,True,0.004,False,86,True,vs_right,mc_w,0.0037646162621052,3528,349,True,333,16,2448,731,0.006493506493506494,0.6870300751879699
"(40, 20)",high,True,0.004,False,86,True,vs_left,mc_w,0.0037646162621052,3528,361,True,351,10,2454,713,0.004058441558441558,0.6701127819548872
"(40, 20)",high,True,0.004,False,86,True,difference,mc_w,0.0037646162621052,3528,9,False,7,2,2462,1057,0.0008116883116883117,0.993421052631579
"(40, 20)",high,True,0.004,False,86,False,baseline,mc_w,0.0021480802592769,10836,16,False,0,16,10820,0,0.0014765596160944998,0.0
"(40, 20)",high,True,0.004,False,86,False,vs_right,mc_w,0.0021480802592769,10836,436,False,285,151,9621,779,0.015452312730249693,0.7321428571428571
"(40, 20)",high,True,0.004,False,86,False,vs_left,mc_w,0.0021480802592769,10836,435,False,311,124,9648,753,0.012689316414244782,0.7077067669172933
"(40, 20)",high,True,0.004,False,86,False,difference,mc_w,0.0021480802592769,10836,15,False,4,11,9761,1060,0.0011256651657797789,0.9962406015037594
"(40, 20)",high,True,0.004,False,64,True,baseline,mc_w,0.0046953014151584,2268,12,False,0,12,2256,0,0.005291005291005291,0.0
"(40, 20)",high,True,0.004,False,64,True,vs_right,mc_w,0.0046953014151584,2268,270,True,256,14,1570,428,0.008838383838383838,0.6257309941520468
