amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,86,True,baseline,mc_w,0.0037796447300922,3528,18,False,10,8,2456,1054,0.5555555555555556,0.009398496240601503,0.018484288354898334,0.003246753246753247,0.9906015037593985
"(40, 20)",high,True,0.004,86,True,vs_right,mc_w,0.0037796447300922,3528,350,True,334,16,2448,730,0.9542857142857143,0.31390977443609025,0.4724186704384724,0.006493506493506494,0.6860902255639098
"(40, 20)",high,True,0.004,86,True,vs_left,mc_w,0.0037796447300922,3528,361,True,351,10,2454,713,0.9722991689750693,0.3298872180451128,0.4926315789473685,0.004058441558441558,0.6701127819548872
"(40, 20)",high,True,0.004,86,True,difference,mc_w,0.0037796447300922,3528,9,False,7,2,2462,1057,0.7777777777777778,0.006578947368421052,0.0130475302889096,0.0008116883116883117,0.993421052631579
"(40, 20)",high,True,0.004,86,False,baseline,mc_w,0.0021566554640687,10836,16,False,7,9,9763,1057,0.4375,0.006578947368421052,0.01296296296296296,0.0009209987720016373,0.993421052631579
"(40, 20)",high,True,0.004,86,False,vs_right,mc_w,0.0021566554640687,10836,439,False,286,153,9619,778,0.6514806378132119,0.26879699248120303,0.3805721889554225,0.015656979124027835,0.731203007518797
"(40, 20)",high,True,0.004,86,False,vs_left,mc_w,0.0021566554640687,10836,436,False,312,124,9648,752,0.7155963302752294,0.2932330827067669,0.416,0.012689316414244782,0.706766917293233
"(40, 20)",high,True,0.004,86,False,difference,mc_w,0.0021566554640687,10836,15,False,4,11,9761,1060,0.26666666666666666,0.0037593984962406013,0.007414272474513439,0.0011256651657797789,0.9962406015037594
"(40, 20)",high,True,0.004,64,True,baseline,mc_w,0.0047140452079103,2268,12,False,10,2,1582,674,0.8333333333333334,0.014619883040935672,0.028735632183908046,0.0012626262626262627,0.9853801169590644
"(40, 20)",high,True,0.004,64,True,vs_right,mc_w,0.0047140452079103,2268,270,True,256,14,1570,428,0.9481481481481482,0.3742690058479532,0.5366876310272536,0.008838383838383838,0.6257309941520468
